ORIGINAL INPUTS:
INPUT 1 , var map: 99
INPUT 2 , var map: 100
INPUT 3 , var map: 101
INPUT 4 , var map: 102
INPUT 5 , var map: 103
INPUT 6 , var map: 104
INPUT 7 , var map: 105
INPUT 8 , var map: 106
INPUT 9 , var map: 107
INPUT 10 , var map: 108
INPUT 11 , var map: 109
INPUT 12 , var map: 110
INPUT 13 , var map: 111
INPUT 14 , var map: 112
INPUT 15 , var map: 113
INPUT 16 , var map: 114
INPUT 17 , var map: 115
INPUT 18 , var map: 116
INPUT 19 , var map: 117
INPUT 20 , var map: 118
INPUT 21 , var map: 119
INPUT 22 , var map: 120
INPUT 23 , var map: 121
INPUT 24 , var map: 122
INPUT 25 , var map: 123
AUXILIARIES:
INPUT 40 , var map: 125
INPUT 41 , var map: 125
INPUT 42 , var map: 125
INPUT 43 , var map: 125
INPUT 44 , var map: 125
INPUT 45 , var map: 125
INPUT 46 , var map: 125
INPUT 47 , var map: 125
INPUT 48 , var map: 125
INPUT 49 , var map: 125
INPUT 50 , var map: 125
INPUT 51 , var map: 125
INPUT 52 , var map: 125
INPUT 53 , var map: 125
INPUT 54 , var map: 125
INPUT 55 , var map: 125
INPUT 56 , var map: 125
INPUT 57 , var map: 125
INPUT 58 , var map: 125
INPUT 59 , var map: 125
INPUT 60 , var map: 125
INPUT 61 , var map: 125
INPUT 62 , var map: 125
INPUT 63 , var map: 125
INPUT 64 , var map: 125
INPUT 65 , var map: 125
INPUT 66 , var map: 125
INPUT 67 , var map: 125
INPUT 68 , var map: 125
INPUT 69 , var map: 125
INPUT 70 , var map: 125
INPUT 71 , var map: 125
INPUT 72 , var map: 125
INPUT 73 , var map: 125
INPUT 74 , var map: 125
INPUT 75 , var map: 125
INPUT 76 , var map: 125
INPUT 77 , var map: 125
INPUT 78 , var map: 125
INPUT 79 , var map: 125
INPUT 80 , var map: 125
INPUT 81 , var map: 125
INPUT 82 , var map: 125
INPUT 83 , var map: 125
INPUT 84 , var map: 125
INPUT 85 , var map: 125
INPUT 86 , var map: 125
INPUT 87 , var map: 125
INPUT 88 , var map: 125
INPUT 89 , var map: 125
INPUT 90 , var map: 125
INPUT 91 , var map: 125
INPUT 92 , var map: 125
INPUT 93 , var map: 125
INPUT 94 , var map: 125
INPUT 95 , var map: 125
INPUT 96 , var map: 125
INPUT 97 , var map: 125
INPUT 98 , var map: 125
INPUT 99 , var map: 125
INPUT 100 , var map: 125
INPUT 101 , var map: 125
INPUT 102 , var map: 125
INPUT 103 , var map: 125
INPUT 104 , var map: 125
INPUT 105 , var map: 125
INPUT 106 , var map: 125
INPUT 107 , var map: 125
INPUT 108 , var map: 125
INPUT 109 , var map: 125
INPUT 110 , var map: 125
INPUT 111 , var map: 125
INPUT 112 , var map: 125
INPUT 113 , var map: 125
INPUT 114 , var map: 125
INPUT 115 , var map: 125
INPUT 116 , var map: 125
INPUT 117 , var map: 125
INPUT 118 , var map: 125
INPUT 119 , var map: 125
INPUT 120 , var map: 125
INPUT 121 , var map: 125
INPUT 122 , var map: 125
INPUT 123 , var map: 125
INPUT 124 , var map: 125
INPUT 125 , var map: 125
INPUT 126 , var map: 125
INPUT 127 , var map: 125
INPUT 128 , var map: 125
INPUT 129 , var map: 125
INPUT 130 , var map: 125
INPUT 131 , var map: 125
INPUT 132 , var map: 125
INPUT 133 , var map: 125
INPUT 134 , var map: 125
INPUT 135 , var map: 125
INPUT 136 , var map: 125
INPUT 137 , var map: 125
INPUT 138 , var map: 125
INPUT 139 , var map: 125
INPUT 140 , var map: 125
INPUT 141 , var map: 125
INPUT 142 , var map: 125
INPUT 143 , var map: 125
INPUT 144 , var map: 125
INPUT 145 , var map: 125
INPUT 146 , var map: 125
INPUT 147 , var map: 125
INPUT 148 , var map: 125
INPUT 149 , var map: 125
INPUT 150 , var map: 125
INPUT 151 , var map: 125
INPUT 152 , var map: 125
INPUT 153 , var map: 125
INPUT 154 , var map: 125
INPUT 155 , var map: 125
INPUT 156 , var map: 125
INPUT 157 , var map: 125
INPUT 158 , var map: 125
INPUT 159 , var map: 125
INPUT 160 , var map: 125
INPUT 161 , var map: 125
INPUT 162 , var map: 125
INPUT 163 , var map: 125
INPUT 164 , var map: 125
INPUT 165 , var map: 125
INPUT 166 , var map: 125
INPUT 167 , var map: 125
INPUT 168 , var map: 125
INPUT 169 , var map: 125
INPUT 170 , var map: 125
INPUT 171 , var map: 125
INPUT 172 , var map: 125
INPUT 173 , var map: 125
INPUT 174 , var map: 125
INPUT 175 , var map: 125
INPUT 176 , var map: 125
INPUT 177 , var map: 125
INPUT 178 , var map: 125
INPUT 179 , var map: 125
INPUT 180 , var map: 125
INPUT 181 , var map: 125
INPUT 182 , var map: 125
INPUT 183 , var map: 125
INPUT 184 , var map: 125
INPUT 185 , var map: 125
INPUT 186 , var map: 125
INPUT 187 , var map: 125
INPUT 188 , var map: 125
INPUT 189 , var map: 125
INPUT 190 , var map: 125
INPUT 191 , var map: 125
INPUT 192 , var map: 125
INPUT 193 , var map: 125
INPUT 194 , var map: 125
INPUT 195 , var map: 125
INPUT 196 , var map: 125
INPUT 197 , var map: 125
INPUT 198 , var map: 125
