ORIGINAL INPUTS:
INPUT 1 , var map: 5
INPUT 2 , var map: 6
INPUT 3 , var map: 7
INPUT 4 , var map: 8
INPUT 5 , var map: 9
INPUT 6 , var map: 10
INPUT 7 , var map: 11
INPUT 8 , var map: 12
INPUT 9 , var map: 13
INPUT 10 , var map: 14
INPUT 11 , var map: 15
INPUT 12 , var map: 16
INPUT 13 , var map: 17
INPUT 14 , var map: 18
INPUT 15 , var map: 19
INPUT 16 , var map: 20
INPUT 17 , var map: 21
INPUT 18 , var map: 22
INPUT 19 , var map: 23
INPUT 20 , var map: 24
INPUT 21 , var map: 25
INPUT 22 , var map: 26
INPUT 23 , var map: 27
INPUT 24 , var map: 28
INPUT 25 , var map: 29
INPUT 26 , var map: 30
INPUT 27 , var map: 31
H Variables:
INPUT 28 , var map: 32
AUXILIARIES:
var map: 35
AUXILIARIES:
 var map: 58
INPUT 31 , var map: 59
INPUT 32 , var map: 60
INPUT 33 , var map: 61
AUXILIARIES:
INPUT 34 , var map: 75
INPUT 35 , var map: 81
INPUT 36 , var map: 87
INPUT 37 , var map: 93
INPUT 38 , var map: 99
INPUT 39 , var map: 105
INPUT 40 , var map: 111
INPUT 41 , var map: 117
INPUT 42 , var map: 123
INPUT 43 , var map: 129
INPUT 44 , var map: 135
INPUT 45 , var map: 141
INPUT 46 , var map: 147
INPUT 47 , var map: 153
INPUT 48 , var map: 159
INPUT 49 , var map: 165
INPUT 50 , var map: 171
INPUT 51 , var map: 177
INPUT 52 , var map: 183
INPUT 53 , var map: 189
INPUT 54 , var map: 195
INPUT 55 , var map: 201
INPUT 56 , var map: 207
INPUT 57 , var map: 213
INPUT 58 , var map: 219
INPUT 59 , var map: 225
INPUT 60 , var map: 231
INPUT 61 , var map: 237
INPUT 62 , var map: 243
INPUT 63 , var map: 249
INPUT 64 , var map: 255
INPUT 65 , var map: 261
INPUT 66 , var map: 267
INPUT 67 , var map: 273
INPUT 68 , var map: 279
INPUT 69 , var map: 285
INPUT 70 , var map: 291
INPUT 71 , var map: 297
INPUT 72 , var map: 303
INPUT 73 , var map: 309
INPUT 74 , var map: 315
INPUT 75 , var map: 321
INPUT 76 , var map: 327
INPUT 77 , var map: 333
INPUT 78 , var map: 339
INPUT 79 , var map: 345
INPUT 80 , var map: 351
INPUT 81 , var map: 357
INPUT 82 , var map: 363
INPUT 83 , var map: 369
INPUT 84 , var map: 375
INPUT 85 , var map: 381
ap: 410
INPUT 86 , var map: 416
INPUT 87 , var map: 422
88 , var map: 424
INPUT 89 , var map: 430
INPUT 90 , var map: 436
INPUT 91 , var map: 442
INPUT 92 , var map: 448
INPUT 93 , var map: 454
INPUT 94 , var map: 460
INPUT 95 , var map: 466
INPUT 96 , var map: 472
INPUT 97 , var map: 478
INPUT 98 , var map: 484
INPUT 99 , var map: 490
INPUT 100 , var map: 496
INPUT 101 , var map: 502
INPUT 102 , var map: 508
INPUT 103 , var map: 514
INPUT 104 , var map: 520
INPUT 105 , var map: 526
INPUT 106 , var map: 532
INPUT 107 , var map: 538
INPUT 108 , var map: 544
INPUT 109 , var map: 550
INPUT 110 , var map: 556
INPUT 111 , var map: 562
INPUT 112 , var map: 568
INPUT 113 , var map: 574
INPUT 114 , var map: 580
p: 585
INPUT 115 , var map: 591
INPUT 116 , var map: 597
INPUT 117 , var map: 603
INPUT 118 , var map: 609
p: 616
INPUT 119 , var map: 622
INPUT 120 , var map: 628
INPUT 121 , var map: 634
INPUT 122 , var map: 640
INPUT 123 , var map: 646
INPUT 124 , var map: 652
INPUT 125 , var map: 658
INPUT 126 , var map: 664
INPUT 127 , var map: 670
INPUT 128 , var map: 676
INPUT 129 , var map: 682
INPUT 130 , var map: 688
INPUT 131 , var map: 694
INPUT 132 , var map: 700
INPUT 133 , var map: 706
PUT 134 , var map: 707
INPUT 135 , var map: 713
INPUT 136 , var map: 719
INPUT 137 , var map: 725
INPUT 138 , var map: 731
INPUT 139 , var map: 737
INPUT 140 , var map: 743
INPUT 141 , var map: 749
INPUT 142 , var map: 755
INPUT 143 , var map: 761
INPUT 144 , var map: 767
INPUT 145 , var map: 773
INPUT 146 , var map: 779
INPUT 147 , var map: 785
INPUT 148 , var map: 791
INPUT 149 , var map: 797
INPUT 150 , var map: 803
INPUT 151 , var map: 809
INPUT 152 , var map: 815
INPUT 153 , var map: 821
INPUT 154 , var map: 827
INPUT 155 , var map: 833
INPUT 156 , var map: 839
INPUT 157 , var map: 845
INPUT 158 , var map: 851
